word;polarity;Retranslation
op deze plaats;1;sur ce lieu
absorberen;1;absorber les
Aanvaardbaar;1;Acceptable
koper;1;cuivre
overname;1;acquisition
Actieve;1;Actif
huidige;1;cours
toevoeging;1;ajout
lijm;1;Colle
Administratie;1;Administration
administratieve;1;administrative
Beheerder;1;Administrateur
bewonderaar;1;admirateur
in aanmerking komende;1;admissibles
tiener;1;Teen
lucht;1;Air
minzame;1;affable
geval;1;cas
aanhankelijk;1;affectueux
Als dat zo is;1;Dans l’affirmative
behoud officier;1;agent de conservation
politieagent;1;agent de police
Clip;1;Clip
Mooi;1;Nice
boer;1;agriculteur
scherper maken;1;aiguiser edit
liefde;1;amour
Ouderling;1;Aîné
gemakkelijk;1;facile
alkaline;1;alcaline
rond;1;autour de
allure;1;allure
alternatief;1;solution de rechange
Ambassadeur;1;Ambassadeur
ambitieuze;1;ambitieux
verbetering;1;amélioration
vriend;1;un ami
analyse;1;analyse
oud-leerling;1;ancien élève
hoekige;1;angulaire
jaarlijkse;1;annuel
proactieve;1;proactive
soortgelijke;1;similaires
leerling;1;pupille
Leerling;1;Pupille
goedkeuring;1;approbation
goedkeurder;1;approbateur
aanpak;1;approche
eigendom;1;propriété
bij benadering;1;approximatif
ondersteuning;1;prise en charge
vurige;1;Fiery
frame;1;cadre
District;1;District de
Quilter;1;Quilter
asiel;1;droit d’asile
aspiratie;1;aspiration
toestemming;1;autorisation
harde;1;dur
bijstand;1;assistance
Assistent;1;Assistant
Slim;1;Slim
attente;1;attentif
trekken;1;tirage au sort
vriendelijke houding;1;attitude amicale
menigte;1;foule
aan de regering;1;pour le gouvernement
op de voorgrond;1;au premier plan
auditieve;1;auditif
luisteraar;1;écouteur
ook dat;1;également que
autonomie;1;autonomie
zelfgenoegzaamheid;1;complaisance
voordelige;1;remise
met de stevigheid;1;avec la fermeté
nadrukkelijk;1;avec insistance
met die;1;avec qui
avontuurlijke;1;Aventure
avonturier;1;aventurier
advocaat;1;avocat
toeschouwer;1;spectateur
stotteren;1;le bégaiement
banner;1;bannière
Bankier;1;Banquier
overal;1;dans le monde
gek rond;1;couchait
Fighter;1;Fighter
Thresher;1;Batteuse
Knap;1;Beau
goedaardige;1;bénigne
OK;1;Bien
weldoener;1;bienfaiteur
Gezegend;1;Béni
welwillendheid;1;bienveillance
juwelier;1;magasin de bijoux
bi-maandelijkse;1;deux fois par mois
Biënnale;1;Biennale
Bisexueel;1;Bisexuels
Joker;1;Joker
Wit;1;Blanc
goed om te eten;1;bon à manger
rand;1;bord
rand van de zee;1;bord de mer
Boxer;1;Boxer
korte;1;court
briljant;1;brillant
glans;1;brillant
PIN;1;BROCHE
kabel;1;câble
kassa;1;caisse enregistreuse
berekening;1;calcul
rustig;1;calme
kalmeren;1;Du calme
kandidaat-lidstaten;1;pays candidats
kapitaal;1;capital
bekleding;1;tapisserie d’ameublement
Capsule;1;Capsule
Captivate;1;Captivate
liefdadigheid;1;organisme de bienfaisance
Cascade;1;Cascade
Rider;1;Rider
opdrachtgever;1;client
bijkeuken;1;buanderie
ceremoniële;1;cérémonial
Kampioen;1;Champion
Bondskanselier;1;Chancelier fédéral
Gelukkig;1;Heureux
zanger;1;chanteur
Charade;1;Charade
charme;1;charme
pad;1;chemin d’accès
onderzoeker;1;chercheur
Chirurg;1;Chirurgien
Paardrijden;1;Randonnées à cheval
burger;1;citoyen
civiele;1;civile
Helderziende;1;Prophète
sleutel;1;clé
Clemens;1;Clemens
klant;1;client
cognitieve;1;cognitive
consistentie;1;cohérence
samenhang;1;cohésion
samenhangende;1;cohérente
Kapper: Kapper;1;Barber : Barber
medewerker;1;employé
verzamelen;1;collecte
verzamelaar;1;Collector
collectieve;1;collectif
Fighter;1;Fighter
Comic;1;Bande dessinée
Memorial;1;Memorial
begin;1;début
commentator;1;commentateur
Koopman;1;Marchand
Commissie;1;Commission
Dressoir;1;Commode
gemeenschappelijk;1;commune
communicatieve;1;communicative
Compact;1;Compact
Compensator;1;Compensateur
bevoegdheid;1;compétence
volledig;1;entièrement
componist;1;compositeur
ontwerp;1;conception
verzoenen;1;concilier
Concorde;1;Concorde
beton;1;béton
voorwaardelijke;1;conditionnelle
confectie;1;confection
confessionele;1;confessionnelles
vertrouwelijke;1;confidentiels
vrouwen broederschap;1;Fraternité des femmes
echtgenoot;1;conjoint
kenner;1;connaisseur
verbinding maken;1;se connecter
weten;1;sais pas
veroveraar;1;conquérant
dienstweigering;1;l’objection de conscience
opeenvolgende;1;successifs
Adviseur;1;Conseiller
toestemming;1;autorisation
instandhouding;1;conservation
Trooster;1;Consolateur
constitutionele;1;constitutionnel
verhaal;1;histoire
hedendaagse;1;contemporain
Ik ben blij;1;Je suis heureux
Verteller;1;Narrateur
aaneengesloten;1;contigus
voortdurende;1;en cours
dwarsbomen;1;Traverser les arbres
Foreman;1;Contremaître
Inzender;1;Contributeur
gemak;1;plus de commodité
conventionele;1;conventionnel
vriendje;1;petit ami
vriendin;1;petite amie
Coral;1;Corail
Cordial;1;Cordial
lichaam;1;corps
correspondent;1;correspondant
taai;1;Tough
kust;1;Côte
Kust;1;Côte
dappere;1;Brave
kromming;1;courbure
Loper;1;Runner
mail;1;courrier
Makelaar;1;Courtier
gewoonterecht;1;common law
schuldeiser;1;créancier
Creator;1;Créateur
romige;1;crémeux
groeien;1;se développer
Lacrosse;1;Lacrosse
gelovige;1;croyant
Datumkiezer;1;Sélecteur de dates
cultiveren;1;cultiver
curatief;1;curative
Cure;1;Cure
cursor;1;curseur
Curriculum;1;Programme d’études
huid;1;peau
Kom;1;Venez
danser;1;danseuse
van deze wereld;1;de ce monde
jongen;1;garçon
van de geboorte;1;la naissance
begin;1;début
verklaring;1;Déclaration
verklaren;1;expliquer
declinatie;1;déclinaison
ontspannen;1;se détendre
decoratieve;1;décoratifs
pak zijn koffer;1;récupérer sa valise
verdedigbaar;1;défendable
verweerder;1;défendeur
delegeren;1;délégué
delicatesse;1;délicatesse
Delight;1;Delight
heerlijke;1;délicieux
blijft;1;reste
Demonstrator;1;Démonstrateur
Dental;1;Soins dentaires
afwijking;1;déviation
de echtgenoot;1;le conjoint
afstammeling;1;descendant
Beschrijving;1;Description
désopiler;1;désopiler
teken de omtrek;1;dessiner le contour
houder;1;titulaire de
bepalen;1;déterminer
differentiële;1;différentielle
direct;1;directement
Regie: Directeur van de fotografie;1;Directeur : Directeur de la photographie
discipline;1;discipline
discrete;1;discrètes
onderscheid;1;distinction
onderscheidend;1;distinctive
onderscheiden;1;différenciés
vermaken;1;amusement
Goddelijke;1;Divine
donor;1;bailleurs de fonds
