x;t;y;Retranslation
is niet;1;-1;is not
ben niet;1;-1;am not
kan niet;1;-1;can not
kan niet;1;-1;can not
kon niet;1;-1;could not
niet;1;-1;not
niet;1;-1;not
niet doen;1;-1;do not do
nog niet;1;-1;Not yet
nog niet;1;-1;Not yet
is niet;1;-1;is not
zou niet;1;-1;would not
mag niet;1;-1;should not
noch;1;-1;nor
nooit;1;-1;never
geen;1;-1;No
niemand;1;-1;No one
geen;1;-1;No
noch;1;-1;nor
niet;1;-1;not
shan't;1;-1;shan't
mag niet;1;-1;should not
was niet;1;-1;was not
waren niet;1;-1;were not
zal niet;1;-1;will not
zou niet;1;-1;would not
