Word;Polarity;Retranslation
negatieve;-1;negative
negatieven;-1;negatives
Fail;-1;Fail
mislukt;-1;failed
falende;-1;failing
storing;-1;failure
zwak;-1;weak
zwakte;-1;weakness
zwakke punten;-1;weak points
moeilijk;-1;difficult
moeilijkheidsgraad;-1;level of difficulty
hindernis;-1;obstacle
horden;-1;hurdles
obstakel;-1;obstacle
obstakels;-1;obstacles
malaise;-1;malaise
laagconjunctuur;-1;slumps
slumping;-1;slumping
zakte;-1;slumped
onzeker;-1;uncertain
onzekerheid;-1;uncertainty
onrustig;-1;restless
ongunstige;-1;unfavorable
neergang;-1;downturn
depressief;-1;depressed
teleurstellen;-1;disappoint
stelt teleur;-1;disappoints
teleurstellend;-1;disappointing
teleurgesteld;-1;disappointed
teleurstelling;-1;disappointment
risico;-1;risk
risico 's;-1;risks
riskant;-1;risky
bedreiging;-1;threat
bedreigingen;-1;threats
straf;-1;Criminal
sancties;-1;sanctions
naar beneden;-1;down
daling;-1;fall
vermindert;-1;reduces
minderen;-1;Juniors
daalde;-1;sank
daling;-1;fall
dalingen;-1;falls
dalende;-1;falling
daalde;-1;sank
Val;-1;Val
Falls;-1;Falls
die vallen;-1;that fall
viel;-1;fell
gedaald;-1;dropped
drop;-1;drop
DROPS;-1;DROPS
dropping;-1;dropping
gedaald;-1;dropped
verslechteren;-1;deteriorate
verslechtert;-1;deteriorates
verslechterende;-1;deteriorating
verslechterd;-1;deteriorated
verergeren;-1;worsen
verergert;-1;worsens
verslechtering;-1;deterioration
verzwakken;-1;weaken
verzwakt;-1;weakened
verzwakking;-1;weakening
verzwakt;-1;weakened
erger;-1;worse
slechtste;-1;worst
lage;-1;low
lagere;-1;lower
laagste;-1;lowest
minder;-1;less
minste;-1;least
kleinere;-1;smaller
kleinste;-1;smallest
krimpen;-1;shrink
krimpt;-1;shrinks
krimpen;-1;shrink
gekrompen;-1;shrunk
Hieronder;-1;Below
onder;-1;under
uitdaging;-1;challenge
uitdagingen;-1;challenges
uitdagende;-1;challenging
uitgedaagd;-1;challenged
positieve;1;positive
positieven;1;positives
succes;1;Good luck
successen;1;successes
succesvolle;1;successful
slagen;1;succeed
slaagt;1;succeeds
slagen;1;succeed
geslaagd;1;managed
bereiken;1;reach
volbrengt;1;accomplishes
volbrengen;1;accomplish
bereikt;1;achieved
prestatie;1;performance
prestaties;1;performance
sterke;1;strong
sterkte;1;strength
sterke punten;1;strong points
bepaalde;1;certain
zekerheid;1;Security
duidelijke;1;clear
solide;1;solid
Uitstekend;1;Excellent
goede;1;good
leiden;1;lead
bereiken;1;reach
bereikt;1;achieved
bereikt;1;achieved
verwezenlijking van;1;creation of
prestatie;1;performance
resultaten;1;results
vooruitgang;1;progress
vordert;1;progresses
leveren;1;deliver
levert;1;delivers
afgeleverd;1;delivered
leveren van;1;delivering
leider;1;leader
leiden;1;lead
blij;1;happy
beloning;1;reward
beloningen;1;Rewards
belonen;1;reward
beloond;1;rewarded
kans;1;chance
kansen;1;opportunities
Geniet van;1;Enjoy
Geniet van;1;Enjoy
genieten van;1;enjoy
genoten;1;enjoyed
aangemoedigd;1;encouraged
stimuleren;1;boost
omhoog;1;up
verhoging van de;1;increase of the
verhoogt;1;increases
verhogen;1;increase
verhoogd;1;increased
opkomst;1;attendance
stijgt;1;increases
stijgen;1;ascent
steeg;1;rose
gestegen;1;increased
verbeteren;1;improve
verbetert;1;improves
verbetering van de;1;improvement of the
verbeterd;1;improved
verbetering;1;improvement
verbeteringen;1;improvements
versterken;1;strengthening
versterkt;1;strengthened
versterking van de;1;strengthening of the
versterkt;1;strengthened
sterker;1;stronger
sterkste;1;strongest
beter;1;better
beste;1;best
meer;1;more
de meeste;1;most
boven;1;above
record;1;record
hoge;1;high
hogere;1;higher
hoogste;1;highest
meer;1;more
grootste;1;largest
grotere;1;larger
grootste;1;largest
groeien;1;grow
groeit;1;grows
groeiende;1;growing
groeide;1;grew
gegroeid;1;grown
groei;1;growth
Vouw;1;Fold
breidt uit;1;expands
uit te breiden;1;expand
uitgebreid;1;extended
uitbreiding;1;extension
hoger zijn dan;1;higher than
overschrijdt;1;exceeds
overschreden;1;exceeded
meer dan;1;more than
Beat;1;Beat
beats;1;beats
pak slaag;1;spanking
